Original_Text,Actual_Label,Predicted_Label,Probability
Love these. It is very sturdy!,1,0,0.22965695
Muy bueno,1,0,0.23786716
Nice fine spray,1,0,0.2429591
Great hold,1,0,0.24369872
Excellent product,1,0,0.24561909
Great product,1,0,0.24561909
Great quality,1,0,0.24561909
Great product,1,0,0.24561909
Great product,1,0,0.24561909
Rich colorful,1,0,0.24561909
Excellent product,1,0,0.24561909
Product came,1,0,0.24580918
Amazing smell,1,0,0.24973719
Too large,1,0,0.249982
nice scent,1,0,0.249982
GOOD,1,0,0.249982
Cute,1,0,0.249982
Good,1,0,0.25030747
good,1,0,0.25030747
Good,1,0,0.25030747
