rating,review_length,word_count,sentence_count,avg_word_length,verified_purchase,sentiment_score,noun_ratio,adj_ratio,ner_count,readability,comparative_count
5.0,97,19,3,4.105263157894737,1,0.8478,0.22727272727272727,0.13636363636363635,0,63.613552631578955,0
5.0,4,1,1,4.0,1,0.4404,0.0,1.0,0,121.22000000000003,0
3.0,806,151,14,4.337748344370861,0,0.4565,0.12637362637362637,0.06043956043956044,2,84.01546153846157,0
5.0,86,17,3,4.117647058823529,1,0.7506,0.15789473684210525,0.15789473684210525,2,88.72514705882354,2
5.0,350,59,7,4.915254237288136,0,0.4019,0.18461538461538463,0.06153846153846154,0,76.40670903954805,0
4.0,110,21,3,4.190476190476191,1,0.7506,0.18518518518518517,0.0,1,94.98714285714289,0
5.0,183,37,4,3.945945945945946,1,0.5499,0.05,0.075,0,86.85180180180181,0
1.0,30,6,3,4.166666666666667,1,0.0,0.2222222222222222,0.0,0,102.045,0
5.0,168,33,4,4.121212121212121,1,0.9406,0.05555555555555555,0.08333333333333333,0,80.30636363636367,2
3.0,144,27,3,4.333333333333333,1,0.25,0.1,0.13333333333333333,0,81.76666666666668,0
5.0,50,9,1,4.666666666666667,1,0.4019,0.4444444444444444,0.0,0,56.70000000000002,0
4.0,294,51,4,4.784313725490196,0,0.7574,0.2631578947368421,0.017543859649122806,0,59.63433333333336,1
5.0,91,21,3,3.333333333333333,1,-0.1027,0.16666666666666666,0.125,2,103.52035714285715,0
4.0,165,28,5,4.928571428571429,1,0.9081,0.24242424242424243,0.030303030303030304,0,70.46166666666669,0
5.0,213,45,7,3.755555555555556,1,0.96,0.1509433962264151,0.07547169811320754,1,101.82000000000002,0
5.0,409,74,7,4.513513513513513,1,-0.7772,0.07954545454545454,0.06818181818181818,1,83.42207207207208,1
5.0,77,16,2,3.875,1,0.8264,0.05263157894736842,0.10526315789473684,1,82.39000000000001,0
1.0,49,10,1,4.0,1,-0.4215,0.14285714285714285,0.0,0,103.625,0
5.0,65,12,1,4.5,1,-0.0572,0.16666666666666666,0.08333333333333333,0,88.905,0
5.0,402,75,2,4.346666666666667,1,0.8689,0.2261904761904762,0.11904761904761904,3,52.588500000000025,0
5.0,9,2,1,4.0,1,0.3612,0.0,0.0,0,120.20500000000001,0
5.0,14,4,2,2.75,1,0.4404,0.2,0.0,0,118.17500000000001,0
5.0,590,101,16,4.851485148514851,1,0.9869,0.11029411764705882,0.11764705882352941,1,76.89763276327636,0
3.0,102,19,4,4.421052631578948,1,0.4549,0.043478260869565216,0.13043478260869565,1,80.18561403508772,0
5.0,152,29,4,4.206896551724138,1,0.9325,0.1388888888888889,0.1388888888888889,2,86.16816091954024,1
3.0,4,1,1,4.0,1,0.3612,0.0,0.0,0,121.22000000000003,0
1.0,275,50,6,4.52,1,0.1665,0.1896551724137931,0.1206896551724138,3,81.629,0
5.0,13,2,1,6.0,0,0.6249,0.5,0.5,0,77.90500000000002,0
5.0,327,63,5,4.190476190476191,1,-0.4131,0.18666666666666668,0.06666666666666667,4,79.01854508196725,0
5.0,160,33,4,3.878787878787879,1,0.5574,0.1388888888888889,0.05555555555555555,0,87.99727272727276,0
4.0,469,92,8,4.108695652173913,0,0.9022,0.23529411764705882,0.049019607843137254,1,83.14717391304349,0
5.0,313,59,8,4.237288135593221,1,0.8122,0.0958904109589041,0.0547945205479452,0,89.30372881355935,1
2.0,239,38,3,5.315789473684211,1,-0.6613,0.21428571428571427,0.09523809523809523,1,51.74473684210528,0
3.0,242,51,4,3.764705882352941,1,0.7579,0.16363636363636364,0.05454545454545454,1,93.47433333333336,0
4.0,775,150,9,4.173333333333333,1,-0.548,0.1696969696969697,0.08484848484848485,2,75.00375000000003,2
4.0,351,67,4,4.223880597014926,1,0.8779,0.15789473684210525,0.06578947368421052,2,72.9868181818182,2
5.0,10,2,1,4.5,1,0.6486,0.5,0.5,0,77.90500000000002,0
5.0,40,8,3,4.125,1,0.0,0.1,0.0,1,82.39000000000001,0
5.0,306,59,4,4.203389830508475,1,0.8513,0.171875,0.09375,3,76.46316384180791,0
3.0,34,6,2,4.833333333333333,1,0.0,0.0,0.0,0,73.84500000000001,0
5.0,15,3,1,4.333333333333333,1,0.0,0.0,0.0,0,90.99000000000004,0
4.0,81,14,2,4.857142857142857,1,0.0258,0.1875,0.125,0,84.9157142857143,0
5.0,565,102,6,4.509803921568627,1,0.984,0.12903225806451613,0.08870967741935484,3,66.69370588235296,0
1.0,12,3,1,3.333333333333333,1,-0.2755,0.0,0.0,0,119.19000000000003,0
5.0,129,22,5,4.909090909090909,0,0.8099,0.18518518518518517,0.037037037037037035,0,60.95530303030304,0
3.0,37,9,2,3.2222222222222223,1,0.4404,0.1,0.1,0,103.70000000000002,0
5.0,756,144,15,4.256944444444445,0,0.9701,0.13496932515337423,0.10429447852760736,1,83.03000000000002,3
4.0,527,106,9,3.981132075471698,1,0.7716,0.14782608695652175,0.10434782608695652,1,92.82398584905663,0
3.0,121,25,4,3.88,1,-0.5661,0.10344827586206896,0.034482758620689655,1,92.20325000000001,1
1.0,103,19,5,4.473684210526316,1,-0.7601,0.25,0.08333333333333333,1,84.63824561403509,0
5.0,42,6,2,6.166666666666667,1,0.8402,0.2857142857142857,0.14285714285714285,0,45.64500000000001,0
1.0,32,4,3,7.25,1,0.0,0.0,0.14285714285714285,0,75.87500000000001,0
5.0,52,10,2,4.3,1,0.6249,0.36363636363636365,0.09090909090909091,1,103.625,0
5.0,162,30,4,4.433333333333334,1,0.7089,0.22857142857142856,0.05714285714285714,1,80.33367816091955,0
5.0,93,17,3,4.470588235294118,1,0.7823,0.09523809523809523,0.19047619047619047,0,88.72514705882354,0
5.0,48,8,4,5.125,1,0.4939,0.15384615384615385,0.07692307692307693,0,75.87500000000001,0
5.0,480,98,7,3.846938775510204,1,0.8348,0.168141592920354,0.05309734513274336,2,86.66482993197282,0
5.0,166,34,3,3.911764705882353,1,0.6901,0.1794871794871795,0.02564102564102564,3,77.60941176470591,0
5.0,208,37,4,4.648648648648648,1,0.8402,0.23255813953488372,0.13953488372093023,1,73.13288288288288,0
1.0,31,4,2,7.0,1,-0.4767,0.0,0.4,0,12.425000000000011,0
4.0,303,63,6,3.8253968253968256,0,0.8598,0.0821917808219178,0.0821917808219178,1,89.30314285714289,0
5.0,118,21,2,4.666666666666667,1,0.4201,0.3181818181818182,0.09090909090909091,0,64.66285714285716,0
4.0,108,21,4,4.095238095238095,0,0.891,0.32,0.12,0,98.54833333333333,1
4.0,759,143,9,4.314685314685315,0,0.9802,0.17419354838709677,0.08387096774193549,4,75.69467220279722,2
5.0,123,23,1,4.391304347826087,1,0.8873,0.12,0.12,0,62.10739130434784,0
4.0,207,41,4,4.073170731707317,1,0.0258,0.2,0.022222222222222223,0,79.47552845528456,0
5.0,51,9,3,4.777777777777778,1,0.8519,0.09090909090909091,0.09090909090909091,0,89.46750000000003,0
5.0,113,23,3,3.9565217391304346,0,0.8399,0.19230769230769232,0.07692307692307693,1,92.38376811594205,2
1.0,207,34,4,5.0588235294117645,1,-0.6497,0.16,0.04,0,75.89637254901962,0
5.0,245,50,7,3.92,1,0.9879,0.19298245614035087,0.12280701754385964,0,95.16466666666668,0
5.0,41,6,3,6.0,1,0.8225,0.125,0.125,0,73.84500000000001,0
2.0,42,7,1,5.142857142857143,1,0.0,0.25,0.125,0,54.70142857142861,0
