rating,helpful_vote,text_snippet,verified_purchase
5.0,430,Got my new eyebrows in mail today.  Magically my baby caterpillars grew into gorgeous mama size ones...,1
5.0,419,"I have very sparse eyebrows so powders, gels, and pencils always looked fake. I bought this pen to t...",1
1.0,266,If you've been reading any of the reviews here lately you will know the 8000 series foil/cutterblock...,0
5.0,178,"The market is filled with ant-aging products and even though we have many too choose from, some rare...",0
5.0,177,"I tried the Lume cream stick and really wanted to like it. The consistency never felt like it dried,...",1
5.0,165,This wand curler works perfectly with all types of hair. As an African American woman I was worried ...,1
5.0,154,This brush is great for reaching your back for a good scrub! The bristles are soft and do a great jo...,1
5.0,150,I was scared of the scent staying on my skin (i don't particularly enjoy the coffe smell) or that it...,1
3.0,148,"I have very dense, thick, and long 4C hair, so my texture is the most coarse texture of hair to poss...",1
5.0,143,My eye doctor diagnosed me with severe blepharitis. He recommended two weeks of nightly application ...,1
